City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
santa maria,0,BR,1561683212,60,-16.02,-48.01,68,4.7
bajil,0,ES,1561683212,74,38.23,-2.07,55.99,1.99
poum,0,MK,1561683213,73,41.28,20.71,56.55,2.33
beloha,26,MG,1561683213,90,-25.17,45.06,66.3,9.26
chaozhou,40,CN,1561683213,89,23.66,116.62,86,2.44
santa lucia,0,IT,1561683213,64,41.98,12.66,81,4.7
orange,1,US,1561683213,42,33.79,-117.85,84.2,14.99
mantua,0,IT,1561683214,83,45.16,10.79,84.2,2.24
turukhansk,100,RU,1561683214,94,65.8,87.96,50.17,11.48
rocha,43,UY,1561683214,82,-34.48,-54.34,43.51,8.43
dikson,91,RU,1561683214,96,73.51,80.55,33.97,5.37
shingu,75,JP,1561683214,88,33.72,135.99,77,3.36
jiwani,0,PK,1561683215,86,25.05,61.74,85.13,9.1
gizo,40,IL,1561683215,83,31.8,34.94,75.2,5.82
reinsvoll,0,NO,1561683215,66,60.68,10.62,51.8,3.36
tuktoyaktuk,75,CA,1561683215,70,69.44,-133.03,46.4,11.41
marcona,,,,,,,,
sangar,0,RU,1561683216,40,63.92,127.47,78.09,4.72
busayra,0,JO,1561683216,43,30.74,35.61,78.63,1.5
tasiilaq,100,GL,1561683216,93,65.61,-37.64,42.8,5.82
coos bay,1,US,1561683216,72,43.37,-124.22,63,14.99
vestmannaeyjar,100,IS,1561683216,97,63.44,-20.27,52.62,16.91
paucartambo,,,,,,,,
hohhot,40,CN,1561683217,82,40.81,111.65,62.6,4.47
ljungby,16,SE,1561683217,100,56.83,13.94,57.2,3.36
kathmandu,75,NP,1561683114,100,27.71,85.32,69.8,2.24
mezhdurechenskiy,99,RU,1561683217,68,59.59,65.91,51.58,2.53
okitipupa,72,NG,1561683217,97,6.5,4.78,73.38,1.5
lata,18,IN,1561683218,77,30.78,78.62,34.64,2.66
matay,0,EG,1561683218,53,28.42,30.79,78.94,14.74
sesheke,0,NA,1561683218,71,-17.47,24.29,51.8,1.12
bereda,17,ES,1561683218,93,43.27,-7.54,64,5.82
caravelas,0,BR,1561683218,82,-17.73,-39.27,73.05,8.5
grand river south east,,,,,,,,
zhuanghe,100,CN,1561683219,71,39.7,122.97,70.14,7.11
ahipara,3,NZ,1561683219,91,-35.17,173.16,66,11.68
hasaki,75,JP,1561683219,88,35.73,140.83,79,2.24
tawkar,,,,,,,,
pevek,100,RU,1561683219,96,69.7,170.27,34.69,11.81
bukama,0,CD,1561683220,52,-9.2,25.85,62.22,2.95
martvili,33,GE,1561683220,100,42.41,42.38,73.4,3.36
trairi,14,BR,1561683220,94,-3.28,-39.27,72.1,3.4
emerald,43,AU,1561683220,64,-23.53,148.16,68,14.99
wattegama,93,LK,1561683220,88,7.35,80.68,72.26,4.72
omboue,0,GA,1561683221,81,-1.57,9.26,74.67,15.79
sovetskaya,33,RU,1561683221,4,44.78,41.17,71.01,8.01
mwingi,39,KE,1561683221,91,-0.93,38.07,61.95,5.59
bengkulu,,,,,,,,
cabo san lucas,75,MX,1561683142,52,22.89,-109.91,96.01,19.46
lugovoy,99,RU,1561683221,68,59.72,65.88,51.58,2.53
sorland,94,NO,1561683222,75,67.67,12.69,46.7,14.72
guanare,100,VE,1561683222,92,9.04,-69.74,72.35,2.26
danane,34,CI,1561683222,99,7.26,-8.15,69.52,3.31
yenagoa,90,NG,1561683222,97,4.92,6.26,73.34,3.15
faya,0,SA,1561683223,15,18.39,42.45,73.4,4.7
falealupo,,,,,,,,
tungkang,,,,,,,,
carutapera,46,BR,1561683223,83,-1.2,-46.02,78.88,7.52
pangai,20,TO,1561683223,65,-19.8,-174.35,77,16.11
palafrugell,0,ES,1561683223,68,41.92,3.16,73.99,2.24
asau,,,,,,,,
aykhal,75,RU,1561683224,52,65.95,111.51,66.2,2.24
choix,44,MX,1561683224,15,26.71,-108.33,102.14,10.36
kilindoni,0,TZ,1561683224,73,-7.91,39.67,78.6,17.83
cherskiy,100,RU,1561683224,82,68.75,161.3,49.2,11.68
mys shmidta,,,,,,,,
hovd,75,NO,1561683225,87,63.83,10.7,51.01,17.22
yambio,,,,,,,,
wewak,100,PG,1561683225,81,-3.55,143.63,81.06,2.42
salinas,1,US,1561683180,49,36.67,-121.66,75,14.99
south venice,1,US,1561683225,74,27.05,-82.42,87.01,4.7
muscle shoals,20,US,1561683225,88,34.75,-87.67,75.99,4.7
aripuana,0,BR,1561683226,59,-9.17,-60.63,78.74,0.65
lucea,20,JM,1561683226,74,18.44,-78.17,81,3.36
talas,99,KG,1561683226,45,42.52,72.24,60.04,4.36
estelle,0,FR,1561683226,64,43.97,3.47,75,3.96
cristalina,21,BR,1561683227,60,-16.77,-47.61,66.21,5.35
fort nelson,75,CA,1561683227,63,58.81,-122.69,60.8,4.7
saleaula,,,,,,,,
ndele,,,,,,,,
cornelio procopio,,,,,,,,
grindavik,90,IS,1561683227,100,63.84,-22.43,53.6,17.22
sumbawa,,,,,,,,
sao felix do xingu,0,BR,1561683227,70,-6.64,-51.99,74.92,4.14
nemuro,75,JP,1561683228,93,43.32,145.57,51.8,5.82
bad neuenahr-ahrweiler,0,DE,1561683015,77,50.54,7.12,62.01,2.24
tarko-sale,51,RU,1561683228,75,64.92,77.78,48,18.97
viligili,,,,,,,,
bethel,20,US,1561683037,53,60.79,-161.76,73.4,7.85
hervey bay,14,AU,1561683228,49,-25.3,152.85,71.6,17.22
tual,89,ID,1561683229,84,-5.67,132.75,78.49,17.67
srandakan,97,ID,1561683142,75,-7.94,110.25,76.92,13.31
gladstone,29,AU,1561683229,56,-23.84,151.26,73.99,14.99
xian,0,ES,1561683229,93,42.76,-8.49,62.01,2.24
sao joao da barra,78,BR,1561683032,91,-21.64,-41.05,69.13,2.66
faanui,46,PF,1561682980,77,-16.48,-151.75,79.59,9.6
dali,100,CN,1561683230,85,34.79,109.94,67.33,5.66
manavalakurichi,20,IN,1561683230,88,8.13,77.3,80.6,5.82
otukpo,87,NG,1561683230,98,7.19,8.13,72.87,4.29
